#{"t_start": 1726154835.389858, "env_id": "CustomHopper-v0"}
r,l,t
784.875768,253,160.592576
537.280023,200,160.780605
536.97095,187,160.957663
509.388132,187,163.08677
544.355612,185,163.27768
632.517528,215,163.59793
182.23452,89,163.684631
424.139354,149,163.842855
1105.65879,382,164.458013
625.477483,204,164.738931
396.753929,153,164.878542
201.117113,101,164.986477
826.024649,266,165.429324
393.043074,136,165.550296
613.893905,209,167.338846
412.241677,144,167.510753
518.192294,178,167.826619
396.190048,132,168.093524
759.101833,260,168.494801
576.503012,193,168.755245
647.906555,206,169.191862
387.674849,152,169.525612
386.360203,136,170.06461
1057.001828,338,170.489954
604.560449,188,172.86677
812.096745,268,173.226624
630.821079,206,173.453697
697.111374,236,173.788771
825.758295,275,174.167794
382.112095,130,174.338481
642.879312,202,174.623067
552.892381,188,174.83414
400.521099,154,175.008494
553.945381,169,175.230909
615.832201,210,177.59988
406.706876,157,177.81956
517.475701,184,178.026988
885.720186,274,178.435085
644.617486,208,178.767015
513.105488,166,179.510418
264.840941,124,179.685943
960.405221,313,180.041603
757.561033,231,180.29984
815.794083,256,180.598268
615.025303,198,182.752099
661.077376,214,183.002726
277.905102,132,183.155781
1205.698368,380,183.561011
586.636712,205,183.767216
575.788131,181,183.934492
763.116737,277,184.210266
434.679028,154,184.353184
1199.900742,416,184.810281
1195.630564,500,187.077596
838.985667,253,187.502838
998.694497,346,187.967929
566.474012,186,188.179151
553.474112,192,188.382407
501.187939,176,188.557312
856.684884,256,188.808054
650.44215,210,190.446126
654.396061,237,190.66946
1118.587997,500,191.188152
496.963457,175,191.349102
1347.959167,500,191.812086
1219.12678,464,192.300444
512.057918,173,194.921947
866.140822,252,195.39864
615.484351,198,195.856105
597.369061,178,196.18995
656.919202,208,196.400722
133.288686,73,196.466779
475.106115,166,196.641003
413.306968,154,196.806134
1066.791225,439,197.214182
675.882901,232,197.481603
563.570388,174,200.408356
991.563616,331,200.748957
414.077178,157,200.978855
818.360364,275,201.346663
1088.371205,363,201.689131
998.977561,327,202.009376
772.779284,239,202.247587
637.903337,221,202.452707
207.614283,96,204.185275
379.080182,140,204.397887
357.95584,136,204.655065
462.400245,169,204.860615
567.127029,192,205.14539
756.954368,262,205.49401
412.954093,156,205.693609
840.393951,266,206.039514
641.876161,213,206.937938
613.364167,193,207.640661
192.012896,102,207.944155
1154.112909,487,210.967439
1029.83711,367,211.512274
493.17897,183,211.758098
513.222678,180,212.174131
636.205145,212,212.654458
641.765851,203,213.423087
687.904577,222,213.755094
1351.92199,490,217.003477
184.509748,99,217.152641
935.382676,304,217.607939
563.326447,193,217.823083
1265.060953,424,218.492466
643.344523,244,218.894502
638.124211,220,219.255506
392.348764,146,219.453601
515.813402,175,219.846509
511.456185,170,223.141263
454.112007,154,223.533115
668.849889,217,223.92128
271.858135,113,224.060066
435.998493,162,224.24688
758.116397,233,224.488742
467.072624,164,224.667259
679.426288,206,225.124013
358.562345,141,225.271702
170.900487,89,225.356839
678.747388,235,225.934306
602.233349,190,226.123654
907.50701,297,229.285287
738.706029,240,229.969636
386.389566,145,230.346785
381.455519,148,230.633522
522.153333,175,230.914385
682.134303,215,231.176383
243.999725,114,231.36511
396.005773,165,231.56302
682.439022,279,231.900136
802.855438,240,232.195663
581.313739,193,234.133455
386.303019,145,234.294075
610.753502,195,234.546387
588.287677,192,234.751279
621.900473,202,235.009884
526.246698,173,235.286422
353.119331,141,235.452847
611.557337,193,235.699352
419.023385,158,235.944301
1069.823532,500,236.443512
557.771205,183,238.688024
715.604731,245,238.935582
507.758414,172,239.098922
1140.341038,500,239.550443
841.063561,276,239.807045
1045.940616,335,240.1077
391.80575,146,240.233443
636.45745,197,240.43217
628.99584,218,241.914728
658.058432,208,242.106524
617.106979,196,242.281486
560.796297,181,242.458751
425.266766,155,242.609236
666.634909,223,242.808531
509.038791,172,242.959036
632.434596,202,243.171914
1154.292566,500,243.914499
1180.155229,500,245.813962
745.041068,239,246.078853
631.796915,201,246.309601
779.368639,269,246.605904
521.187368,175,246.822129
216.838388,102,246.931572
253.34219,129,247.050459
658.308473,219,247.281767
396.812083,148,247.455827
609.08048,187,249.274361
582.035797,186,249.464327
588.266275,190,249.648863
686.485565,235,249.876475
634.198664,206,250.070781
172.505764,97,250.159703
549.354538,181,250.325799
643.699198,219,250.517403
641.317552,202,250.697233
404.750164,154,250.85307
471.064805,153,250.9946
197.10437,94,251.075524
148.631777,81,251.147584
776.527382,236,252.827094
555.643999,186,253.005778
613.998737,191,253.179864
655.623826,217,253.414835
692.399261,238,253.669097
719.776889,230,253.889117
510.451705,171,254.047612
629.688012,195,254.227253
546.833338,178,254.442969
339.895606,135,254.628765
294.807319,131,256.243069
613.069878,193,256.437513
719.414441,241,256.723419
723.55705,244,257.009199
512.183126,178,257.174644
354.710404,145,257.30936
713.664292,259,257.623904
234.301253,110,257.737681
709.675217,235,257.949768
539.854024,174,258.105185
152.514073,81,258.174814
603.695201,207,259.8619
486.601464,178,260.047702
582.359779,187,260.272819
1172.913029,500,260.999732
649.71099,199,261.290905
643.396419,197,261.501094
504.767338,170,261.738365
498.360086,165,261.926162
625.199561,191,262.290925
178.354449,94,262.518719
939.397095,335,264.98586
386.729643,153,265.135744
661.515784,210,265.404153
628.856508,222,265.607464
1243.267228,500,266.124399
630.840555,214,266.309311
382.566297,149,266.470622
622.105391,206,266.667645
660.897671,222,268.182642
652.369437,226,268.404518
147.629001,87,268.525688
283.683858,128,268.75078
269.411529,124,268.889778
605.93538,179,269.091372
222.088714,115,269.211665
627.121477,209,269.431686
807.345187,253,269.67995
653.748208,230,270.259868
1436.887784,500,272.098838
640.751117,205,272.297617
153.266955,89,272.374608
627.013852,231,272.631791
544.854422,199,272.826712
153.076981,87,272.919346
858.371713,271,273.178732
136.363054,74,273.255414
200.208117,100,273.345355
619.394338,202,273.580495
767.648204,241,273.841947
337.811969,143,274.00308
267.644519,107,274.104093
1012.942447,308,275.823146
619.356105,216,276.023962
149.751386,82,276.110327
553.281894,183,276.287988
312.626768,132,276.419775
77.865393,46,276.466139
715.157406,243,276.714427
638.831928,226,276.987476
1139.958607,500,277.450355
699.107371,219,279.022094
358.07564,147,279.176398
319.075517,136,279.304705
659.217591,245,279.548755
624.834602,194,279.818587
852.910425,416,280.214972
593.916794,193,280.384168
673.671318,251,280.719375
498.854265,177,280.871999
638.384071,204,281.086858
392.907287,158,282.563146
632.187845,209,282.75992
573.468296,200,282.937104
720.351533,259,283.16868
403.7307,151,283.315382
643.691571,214,283.5125
1118.804606,500,284.049021
665.179666,219,284.268652
532.691866,173,285.924122
672.010004,227,286.133504
452.249695,170,286.327562
782.293719,253,286.614354
721.277461,249,286.854989
530.203748,170,287.008661
468.576518,170,287.178615
619.090815,212,287.377671
701.305306,226,287.597279
559.476407,186,287.766351
575.696169,201,289.730745
685.78848,216,290.033934
661.599046,222,290.368136
1153.372069,500,291.021846
471.634721,156,291.217509
1215.598226,500,291.701014
606.910921,209,291.918369
609.143302,204,293.527842
626.96182,212,293.790352
687.986086,240,294.067546
711.353018,223,294.311828
1270.763172,417,294.739869
1163.751888,500,295.216897
574.298063,193,295.395469
645.600594,219,295.593318
349.431773,146,297.079495
621.216572,202,297.348977
1323.658682,500,297.907271
672.044326,212,298.11894
591.040088,209,298.302294
599.81509,210,298.517186
640.447628,221,298.725615
634.305317,283,299.107234
654.38233,217,300.751605
564.155943,190,300.935199
1012.288755,342,301.272951
765.028606,291,301.543802
611.466989,211,301.760711
718.213751,262,302.026635
684.210359,245,302.247344
687.761812,244,302.478176
678.086025,227,304.168617
587.717802,192,304.707861
651.681767,225,305.105455
374.866193,163,305.281948
656.400411,223,305.506659
727.926796,262,305.746224
801.80138,282,306.078376
659.984454,235,306.410857
674.653358,224,306.66807
1253.783383,500,309.243265
596.338964,210,309.525106
1470.687148,500,310.124971
592.386867,217,310.426184
