Episode 129: Reward = [680.7465], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 130: Reward = [1262.7218], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 131: Reward = [1155.3413], lambda_i = 4, phi = 0.32990726362365475, phi_i_L = 0.01, phi_i_H = 0.5015625
Episode 132: Reward = [702.53253], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 133: Reward = [1451.784], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 134: Reward = [1450.3334], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 135: Reward = [1464.3331], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 136: Reward = [1449.422], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 137: Reward = [1440.3219], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 138: Reward = [1387.1931], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 139: Reward = [1395.4982], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 140: Reward = [1396.238], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 141: Reward = [1277.3049], lambda_i = 1, phi = 2.7207265372469958, phi_i_L = 2.7, phi_i_H = 3.600390625
Episode 142: Reward = [1461.7599], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 143: Reward = [1454.091], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 144: Reward = [984.8507], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 145: Reward = [1395.3135], lambda_i = 1, phi = 2.7207265372469958, phi_i_L = 2.7, phi_i_H = 3.600390625
Episode 146: Reward = [1424.4445], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 147: Reward = [1467.4065], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
Episode 148: Reward = [1418.829], lambda_i = 5, phi = 0.42761074134399396, phi_i_L = 0.01, phi_i_H = 0.5132812499999999
