Episode 134: Reward = [1014.0506], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 135: Reward = [1404.0671], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 136: Reward = [1210.3657], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 137: Reward = [1575.4259], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 138: Reward = [1458.5114], lambda_i = 3, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 139: Reward = [1534.601], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 140: Reward = [1627.9084], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 141: Reward = [1379.1187], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 142: Reward = [1526.973], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 143: Reward = [1460.0581], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 144: Reward = [1406.4364], lambda_i = 3, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 145: Reward = [1523.2728], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 146: Reward = [1516.6211], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 147: Reward = [1158.183], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 148: Reward = [1388.7075], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 149: Reward = [1457.8618], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 150: Reward = [1429.8041], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 151: Reward = [1481.8179], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 152: Reward = [887.9776], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 153: Reward = [989.91504], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 154: Reward = [1182.2251], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 155: Reward = [790.21265], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 156: Reward = [784.92224], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 157: Reward = [758.99036], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 158: Reward = [1436.8033], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 159: Reward = [837.05707], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 160: Reward = [934.29095], lambda_i = 4, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 161: Reward = [877.90967], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 162: Reward = [1547.3213], lambda_i = 4, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 163: Reward = [1441.5471], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 164: Reward = [1480.9698], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
Episode 165: Reward = [1520.8994], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 166: Reward = [1025.2067], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 167: Reward = [1357.1866], lambda_i = 3, phi = 0.101, phi_i_L = 0.101, phi_i_H = 0.4
Episode 168: Reward = [1350.5236], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 169: Reward = [1409.2083], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 170: Reward = [1458.8972], lambda_i = 3, phi = 0.4, phi_i_L = 0.101, phi_i_H = 0.4
Episode 171: Reward = [1579.5364], lambda_i = 1, phi = 3.1999999999999997, phi_i_L = 2.3, phi_i_H = 3.1999999999999997
