#{"t_start": 1726155755.3063045, "env_id": "CustomHopper-v0"}
r,l,t
309.676203,127,88.116515
273.824142,120,88.23979
285.278966,127,88.393671
240.122992,112,88.523548
309.536502,133,88.667198
293.268857,127,88.816007
92.269949,52,88.878149
277.887314,126,89.028818
296.83347,125,89.161866
312.813964,133,89.311153
266.391434,128,89.451868
313.571654,130,89.607877
303.125939,134,89.749085
302.510634,133,89.901053
279.752615,121,90.040444
278.268856,130,90.176864
296.43451,121,92.358217
261.465627,125,92.520703
287.059765,120,92.679018
258.104839,117,92.829909
298.912047,131,92.977664
303.554469,132,93.131611
188.541721,90,93.232266
336.417936,140,93.412419
303.884645,131,93.602894
317.366421,137,93.75431
308.367937,128,93.893765
326.180453,140,94.037045
310.701404,133,94.181099
290.58366,129,94.315405
184.963849,95,94.399963
307.121547,134,94.551966
331.381279,146,96.580521
314.028266,131,96.730219
298.969197,127,96.89192
308.809299,125,97.032185
331.188154,141,97.204
326.158975,138,97.372675
315.96361,139,97.560829
330.500824,135,97.728678
297.679355,127,97.879807
333.589676,135,98.03654
309.815686,134,98.190583
174.483664,86,98.281907
309.187249,126,98.435772
317.716174,135,98.584276
329.458539,135,98.726602
230.254722,108,98.857107
361.627303,158,100.942067
316.441957,138,101.121069
322.406635,140,101.278632
332.294251,144,101.444563
148.873776,80,101.545467
342.433561,149,101.749983
325.096571,140,101.921859
294.295638,124,102.061283
323.480309,137,102.21401
312.621726,133,102.370637
305.393068,134,102.550518
316.281846,137,102.703589
315.760356,133,102.869367
290.247612,123,103.017761
329.154175,141,103.186124
333.879504,142,103.398217
335.059174,145,105.451139
326.917383,139,105.619931
318.986484,139,105.792593
330.628445,138,105.946872
321.887276,137,106.110497
197.893479,95,106.215644
323.969504,138,106.371283
349.069283,153,106.544449
305.72361,128,106.68394
320.431799,137,106.824654
306.361873,131,106.983576
308.744549,137,107.181999
330.215124,145,107.332735
331.962846,134,107.529151
326.703676,145,107.754643
286.01549,119,110.092829
346.21542,150,110.281184
308.789842,124,110.415082
281.443203,126,110.566885
312.996568,136,110.718997
322.778998,137,110.869099
337.988321,148,111.042098
303.151928,127,111.197847
312.944075,133,111.3399
322.965899,134,111.486434
218.245172,101,111.594282
266.373166,117,111.7352
323.636426,130,111.875844
331.420441,142,112.079902
77.017325,45,112.148351
320.618246,140,112.374614
351.600841,151,114.462373
314.888186,133,114.613413
334.130416,144,114.748553
335.805317,141,114.894006
351.215569,150,115.062078
323.571457,136,115.21992
192.19495,96,115.377959
328.189902,132,115.54242
348.125667,138,115.694142
312.916182,131,115.839411
326.635959,132,115.97296
327.654487,139,116.147398
320.866981,136,116.298836
302.451571,125,116.449039
331.036816,134,116.632301
328.380177,141,118.863319
344.788244,137,119.028206
286.712837,122,119.236172
327.112219,131,119.499022
319.189259,124,119.634591
337.413593,133,119.802905
373.135532,148,119.960275
311.78563,136,120.105271
305.034167,129,120.25633
356.828029,140,120.409213
317.86887,123,120.554163
314.18104,131,120.699281
323.16514,133,120.866601
328.618023,142,121.05658
316.210046,134,121.245557
341.051698,147,123.435091
335.816555,142,123.634946
333.260583,130,123.827712
